"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
2009,"(-0.866, -0.5)",0.4557,0.4633,0.6518,0.4595
2009,"(-0.5, -0.866)",0.4646,0.4399,0.6092,0.4555
2009,"(0.0, -1.0)",0.4341,0.4512,0.6501,0.4589
2009,"(0.5, -0.866)",0.3148,0.4012,0.5604,0.4313
2009,"(0.866, -0.5)",0.2995,0.3066,0.5197,0.3141
2009,"(1.0, 0.0)",0.2641,0.3122,0.4926,0.3028
2009,"(0.866, 0.5)",0.2442,0.2427,0.4562,0.265
2009,"(0.5, 0.866)",0.2593,0.2811,0.4509,0.2412
2008,"(-0.0, 1.0)",0.343,0.3119,0.4491,0.2638
2008,"(-0.5, 0.866)",0.4409,0.4393,0.547,0.3396
2008,"(-0.866, 0.5)",0.7058,0.67,0.6276,0.4429
2008,"(-1.0, -0.0)",0.8193,0.8717,0.8079,0.6962
2008,"(-0.866, -0.5)",0.8762,0.8613,0.9366,0.8106
2008,"(-0.5, -0.866)",1,1,0.9927,0.8771
2008,"(0.0, -1.0)",0.9036,0.9733,1,1
2008,"(0.5, -0.866)",0.8036,0.9095,0.9302,0.9024
2008,"(0.866, -0.5)",0.7035,0.797,0.8638,0.7952
2008,"(1.0, 0.0)",0.704,0.7366,0.8582,0.7035
2008,"(0.866, 0.5)",0.6251,0.6716,0.7816,0.7055
2008,"(0.5, 0.866)",0.6611,0.6496,0.7808,0.6276
2007,"(-0.0, 1.0)",0.6054,0.6335,0.779,0.6603
2007,"(-0.5, 0.866)",0.6542,0.6437,0.7952,0.6042
2007,"(-0.866, 0.5)",0.5513,0.6139,0.7328,0.6491
2007,"(-1.0, -0.0)",0.4911,0.5294,0.7028,0.5498
2007,"(-0.866, -0.5)",0.5221,0.4913,0.6728,0.491
2007,"(-0.5, -0.866)",0.4651,0.4876,0.6786,0.5232
2007,"(0.0, -1.0)",0.4168,0.434,0.643,0.465
2007,"(0.5, -0.866)",0.4278,0.3993,0.6237,0.4136
2007,"(0.866, -0.5)",0.4306,0.4016,0.6278,0.4267
2007,"(1.0, 0.0)",0.3983,0.412,0.5954,0.4279
2007,"(0.866, 0.5)",0.3681,0.3686,0.5987,0.3964
2007,"(0.5, 0.866)",0.3916,0.3591,0.5572,0.3683
2006,"(-0.0, 1.0)",0.4062,0.3827,0.6189,0.3907
2006,"(-0.5, 0.866)",0.3736,0.3799,0.5878,0.4068
2006,"(-0.866, 0.5)",0.4058,0.3765,0.5982,0.3728
2006,"(-1.0, -0.0)",0.4633,0.431,0.6166,0.4051
2006,"(-0.866, -0.5)",0.4949,0.4815,0.6729,0.4618
2006,"(-0.5, -0.866)",0.4914,0.4885,0.6915,0.4937
2006,"(0.0, -1.0)",0.4708,0.457,0.6695,0.4901
2006,"(0.5, -0.866)",0.4742,0.4632,0.6653,0.4697
2006,"(0.866, -0.5)",0.4323,0.4659,0.6541,0.4743
2006,"(1.0, 0.0)",0.3965,0.4061,0.6149,0.4338
2006,"(0.866, 0.5)",0.4442,0.4187,0.6044,0.3935
2006,"(0.5, 0.866)",0.3923,0.4202,0.6245,0.4437
2005,"(-0.0, 1.0)",0.3644,0.366,0.6004,0.3906
2005,"(-0.5, 0.866)",0.3825,0.3678,0.5911,0.3619
2005,"(-0.866, 0.5)",0.4319,0.401,0.6143,0.3808
