"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2010","2.8300","2.7980","2.8359","2.7880","","1.14%"
"10/01/2010","2.7980","2.7870","2.8015","2.7835","","0.39%"
"09/01/2010","2.7870","2.7970","2.7990","2.7810","","-0.32%"
"08/01/2010","2.7960","2.8190","2.8245","2.7925","","-0.82%"
"07/01/2010","2.8190","2.8360","2.8390","2.8087","","-0.21%"
"06/01/2010","2.8250","2.8360","2.8375","2.8235","","-0.74%"
"05/01/2010","2.8462","2.8378","2.8588","2.8357","","-0.01%"
"04/01/2010","2.8465","2.8415","2.8505","2.8318","","0.21%"
"03/01/2010","2.8405","2.8590","2.8640","2.8215","","-0.26%"
"02/01/2010","2.8480","2.8610","2.8760","2.8410","","-0.44%"
"01/01/2010","2.8605","2.8805","2.8895","2.8405","","-0.99%"
"12/01/2009","2.8890","2.8890","2.8960","2.8605","","0.28%"
"11/01/2009","2.8810","2.9090","2.9160","2.8610","","-0.96%"
"10/01/2009","2.9090","2.8890","2.9130","2.8502","","0.96%"
"09/01/2009","2.8813","2.9537","2.9558","2.8607","","-2.48%"
"08/01/2009","2.9545","2.9865","2.9875","2.9184","","-1.05%"
"07/01/2009","2.9860","3.0100","3.0330","2.9805","","-0.68%"
"06/01/2009","3.0065","3.0075","3.0325","2.9588","","0.75%"
"05/01/2009","2.9840","2.9830","3.0640","2.9500","","0.12%"
"04/01/2009","2.9805","3.1525","3.1695","2.9805","","-5.46%"
"03/01/2009","3.1527","3.2505","3.2605","3.0995","","-3.01%"
"02/01/2009","3.2505","3.1605","3.2555","3.1605","","1.61%"
"01/01/2009","3.1990","3.1540","3.2085","3.1040","","2.06%"
"12/01/2008","3.1345","3.0955","3.1660","3.0645","","1.41%"
"11/01/2008","3.0910","3.0930","3.1465","3.0570","","-0.64%"
"10/01/2008","3.1110","3.0020","3.2550","2.9800","","4.38%"
"09/01/2008","2.9805","2.9335","2.9875","2.9250","","0.98%"
"08/01/2008","2.9515","2.8040","2.9625","2.7630","","5.00%"
"07/01/2008","2.8110","2.9580","2.9680","2.7950","","-5.08%"
"06/01/2008","2.9615","2.8260","2.9845","2.7800","","4.04%"
"05/01/2008","2.8465","2.8141","2.8795","2.7410","","1.10%"
"04/01/2008","2.8155","2.7451","2.8775","2.6800","","2.51%"
"03/01/2008","2.7466","2.8890","2.8904","2.7308","","-4.95%"
"02/01/2008","2.8895","2.9330","2.9345","2.8840","","-1.50%"
"01/01/2008","2.9335","2.9950","2.9985","2.9080","","-2.15%"
"12/01/2007","2.9980","2.9951","3.0060","2.9600","","0.05%"
"11/01/2007","2.9966","2.9991","3.0185","2.9880","","-0.13%"
"10/01/2007","3.0005","3.0840","3.0854","2.9930","","-2.72%"
"09/01/2007","3.0845","3.1590","3.1675","3.0810","","-2.39%"
"08/01/2007","3.1600","3.1600","3.1720","3.1420","","-0.02%"
"07/01/2007","3.1605","3.1650","3.1675","3.1560","","-0.17%"
"06/01/2007","3.1660","3.1740","3.1870","3.1650","","-0.28%"
"05/01/2007","3.1750","3.1715","3.1770","3.1510","","0.06%"
"04/01/2007","3.1730","3.1820","3.1840","3.1680","","-0.30%"
"03/01/2007","3.1825","3.1900","3.1915","3.1800","","-0.27%"
"02/01/2007","3.1910","3.1960","3.1970","3.1840","","-0.20%"
"01/01/2007","3.1975","3.1950","3.2065","3.1850","","0.06%"
"12/01/2006","3.1956","3.2160","3.2235","3.1920","","-0.65%"
"11/01/2006","3.2165","3.2160","3.2325","3.2060","","-0.02%"
"10/01/2006","3.2170","3.2500","3.2510","3.2100","","-1.03%"
"09/01/2006","3.2505","3.2430","3.2585","3.2400","","0.20%"
"08/01/2006","3.2440","3.2400","3.2540","3.2200","","0.11%"
"07/01/2006","3.2405","3.2620","3.2625","3.2340","","-0.67%"
"06/01/2006","3.2625","3.2970","3.2975","3.2410","","-1.09%"
"05/01/2006","3.2985","3.3030","3.3090","3.2510","","-0.20%"
"04/01/2006","3.3050","3.3675","3.3820","3.2980","","-1.89%"
"03/01/2006","3.3688","3.2940","3.3853","3.2580","","2.24%"
"02/01/2006","3.2950","3.3050","3.3160","3.2750","","-0.35%"
"01/01/2006","3.3065","3.4375","3.4560","3.2960","","-3.28%"
"12/01/2005","3.4185","3.4140","3.4485","3.3960","","0.12%"
"11/01/2005","3.4145","3.3735","3.4165","3.3500","","1.17%"
"10/01/2005","3.3750","3.3210","3.4055","3.3210","","0.96%"
"09/01/2005","3.3430","3.2725","3.3545","3.2540","","2.08%"
"08/01/2005","3.2750","3.2530","3.2945","3.2500","","0.74%"
"07/01/2005","3.2510","3.2580","3.2580","3.2470","","-0.08%"
"06/01/2005","3.2535","3.2520","3.2585","3.2500","","-0.03%"
"05/01/2005","3.2545","3.2550","3.2590","3.2500","","-0.03%"
"04/01/2005","3.2555","3.2590","3.2625","3.2200","","-0.12%"
"03/01/2005","3.2595","3.2555","3.2635","3.2540","","0.09%"
"02/01/2005","3.2565","3.2600","3.2785","3.2540","","-0.29%"
"01/01/2005","3.2660","3.2790","3.2930","3.2550","","-0.34%"
"12/01/2004","3.2770","3.3035","3.3270","3.2595","","-0.83%"
"11/01/2004","3.3045","3.3240","3.3250","3.2970","","-0.62%"
"10/01/2004","3.3250","3.3390","3.3480","3.3060","","-0.43%"
"09/01/2004","3.3395","3.3675","3.3915","3.3370","","-0.88%"
"08/01/2004","3.3690","3.4170","3.4275","3.3440","","-1.42%"
"07/01/2004","3.4176","3.4670","3.4701","3.4170","","-1.44%"
"06/01/2004","3.4675","3.4870","3.4895","3.4660","","-0.57%"
"05/01/2004","3.4875","3.4840","3.4960","3.4780","","0.09%"
"04/01/2004","3.4845","3.4590","3.4925","3.4550","","0.72%"
"03/01/2004","3.4595","3.4726","3.4855","3.4550","","-0.38%"
"02/01/2004","3.4728","3.4987","3.5082","3.4670","","-0.76%"
"01/01/2004","3.4993","3.4675","3.5141","3.4480","","1.08%"
"12/01/2003","3.4618","3.4804","3.5103","3.4600","","-0.52%"
"11/01/2003","3.4798","3.4732","3.4829","3.4721","","0.19%"
"10/01/2003","3.4733","3.4828","3.4829","3.4690","","-0.28%"
"09/01/2003","3.4829","3.4802","3.4861","3.4755","","0.08%"
"08/01/2003","3.4802","3.4730","3.4863","3.4715","","0.20%"
"07/01/2003","3.4732","3.4670","3.4802","3.4650","","0.16%"
"06/01/2003","3.4675","3.4945","3.4950","3.4425","","-0.78%"
"05/01/2003","3.4947","3.4622","3.5027","3.4350","","0.94%"
"04/01/2003","3.4623","3.4745","3.4808","3.4560","","-0.37%"
"03/01/2003","3.4752","3.4780","3.4888","3.4710","","-0.09%"
"02/01/2003","3.4783","3.4845","3.4962","3.4765","","-0.20%"
"01/01/2003","3.4852","3.5010","3.5088","3.4800","","-0.49%"
"12/01/2002","3.5025","3.5070","3.5665","3.4835","","-0.16%"
"11/01/2002","3.5080","3.6035","3.6180","3.4970","","-2.66%"
"10/01/2002","3.6040","3.6320","3.6370","3.5790","","-0.80%"
"09/01/2002","3.6330","3.6180","3.6600","3.5550","","-0.25%"
"08/01/2002","3.6420","3.5600","3.6440","3.5230","","1.97%"
"07/01/2002","3.5715","3.5070","3.5715","3.5020","","1.80%"
