Date,Price,Open,High,Low,Vol.,Change %
1/01/2017,2.7335,2.507,2.736,2.4725,1.24M,9.10%
12/01/2016,2.5055,2.627,2.7055,2.453,77.86K,-4.72%
11/01/2016,2.6295,2.2115,2.7445,2.21,15.22K,19.09%
10/01/2016,2.208,2.2145,2.216,2.0845,1.12M,-0.11%
9/01/2016,2.2105,2.084,2.219,2.072,125.08K,6.53%
8/01/2016,2.075,2.229,2.2455,2.072,7.94K,-6.74%
7/01/2016,2.225,2.2015,2.2775,2.1165,1.18M,1.34%
6/01/2016,2.1955,2.0895,2.206,2.0175,113.71K,4.55%
5/01/2016,2.1,2.287,2.294,2.038,1.19M,-8.04%
4/01/2016,2.2835,2.19,2.3025,2.0765,130.51K,4.36%
3/01/2016,2.188,2.129,2.3235,2.0955,1.20M,2.60%
2/01/2016,2.1325,2.06,2.164,2.0025,158.87K,2.99%
1/01/2016,2.0705,2.1335,2.1395,1.9355,1.01M,-3.02%
12/01/2015,2.135,2.07,2.1485,2.03,54.05K,4.35%
11/01/2015,2.046,2.3065,2.3615,2.003,9.95K,-11.94%
10/01/2015,2.3235,2.338,2.4375,2.273,902.43K,-0.75%
9/01/2015,2.341,2.3345,2.486,2.2255,111.14K,0.11%
8/01/2015,2.3385,2.35,2.4305,2.212,8.62K,-1.29%
7/01/2015,2.369,2.6145,2.6495,2.3375,1.13M,-9.41%
6/01/2015,2.615,2.7255,2.77,2.565,123.82K,-4.32%
5/01/2015,2.733,2.885,2.956,2.732,762.01K,-5.32%
4/01/2015,2.8865,2.757,2.89,2.662,115.87K,5.31%
3/01/2015,2.741,2.6985,2.9145,2.5525,996.44K,1.84%
2/01/2015,2.6915,2.4745,2.714,2.472,111.59K,7.85%
1/01/2015,2.4955,2.8255,2.841,2.419,1.06M,-11.68%
12/01/2014,2.8255,2.8185,2.9515,2.779,57.76K,-1.07%
11/01/2014,2.856,3.0455,3.077,2.8555,6.91K,-6.27%
10/01/2014,3.047,3.007,3.114,2.9515,995.82K,1.31%
9/01/2014,3.0075,3.149,3.206,3.006,108.99K,-4.61%
8/01/2014,3.153,3.235,3.257,3.082,9.16K,-2.56%
7/01/2014,3.236,3.203,3.2945,3.1675,835.40K,1.01%
6/01/2014,3.2035,3.162,3.2105,3.013,91.79K,2.66%
5/01/2014,3.1205,3.0175,3.1925,3.003,689.68K,3.07%
4/01/2014,3.0275,3.033,3.1185,2.962,99.15K,0.10%
3/01/2014,3.0245,3.1895,3.2355,2.877,1.13M,-5.11%
2/01/2014,3.1875,3.2025,3.3,3.178,102.08K,-0.39%
1/01/2014,3.2,3.3985,3.4245,3.195,805.67K,-5.79%
12/01/2013,3.3965,3.209,3.4135,3.174,55.74K,5.63%
11/01/2013,3.2155,3.3065,3.3095,3.135,6.02K,-2.69%
10/01/2013,3.3045,3.3245,3.355,3.215,989.52K,-0.56%
9/01/2013,3.323,3.26,3.353,3.191,79.05K,2.86%
8/01/2013,3.2305,3.125,3.39,3.1165,5.49K,3.38%
7/01/2013,3.125,3.045,3.234,3.025,1.05M,2.21%
6/01/2013,3.0575,3.331,3.398,2.983,122.98K,-7.35%
5/01/2013,3.3,3.1895,3.418,3.0425,1.31M,3.53%
4/01/2013,3.1875,3.3955,3.4595,3.068,117.44K,-6.59%
3/01/2013,3.4125,3.553,3.576,3.388,952.02K,-3.81%
2/01/2013,3.5475,3.735,3.7925,3.5275,120.84K,-5.13%
1/01/2013,3.7395,3.651,3.7755,3.5995,858.58K,2.38%
12/01/2012,3.6525,3.6425,3.713,3.525,55.19K,0.21%
11/01/2012,3.645,3.5495,3.643,3.411,7.67K,3.46%
10/01/2012,3.523,3.7505,3.8225,3.482,930.55K,-6.25%
9/01/2012,3.758,3.48,3.8355,3.4655,96.16K,8.69%
8/01/2012,3.4575,3.369,3.5125,3.297,9.61K,0.99%
7/01/2012,3.4235,3.495,3.5565,3.332,936.67K,-2.09%
6/01/2012,3.4965,3.3695,3.515,3.2695,130.49K,3.74%
5/01/2012,3.3705,3.837,3.8555,3.3495,1.15M,-11.99%
4/01/2012,3.8295,3.8695,3.9495,3.5775,117.20K,0.00%
3/01/2012,3.8295,3.8635,3.9495,3.714,934.86K,-1.29%
2/01/2012,3.8795,3.785,3.9835,3.708,120.03K,2.17%
1/01/2012,3.797,3.454,3.939,3.378,823.74K,10.51%
12/01/2011,3.436,3.576,3.615,3.2545,46.34K,-3.85%
11/01/2011,3.5735,3.6405,3.66,3.234,7.78K,-1.88%
10/01/2011,3.642,3.14,3.725,2.994,1.04M,15.55%
9/01/2011,3.152,4.153,4.1555,3.068,151.14K,-24.94%
8/01/2011,4.1995,4.5165,4.5165,3.847,5.63K,-6.46%
7/01/2011,4.4895,4.272,4.51,4.2485,586.36K,4.83%
6/01/2011,4.2825,4.177,4.2875,4.0225,95.54K,2.27%
5/01/2011,4.1875,4.187,4.267,3.8535,708.82K,0.20%
4/01/2011,4.179,4.277,4.5415,4.158,72.99K,-3.20%
3/01/2011,4.317,4.4995,4.554,4.076,738.67K,-3.99%
2/01/2011,4.4965,4.4705,4.6345,4.237,66.21K,0.74%
1/01/2011,4.4635,4.455,4.498,4.208,618.20K,0.37%
12/01/2010,4.447,3.869,4.452,3.8235,31.17K,16.25%
11/01/2010,3.8255,3.7745,4.08,3.617,6.24K,2.31%
10/01/2010,3.739,3.655,3.9,3.6445,634.12K,2.40%
9/01/2010,3.6515,3.4325,3.6735,3.3985,58.18K,8.40%
8/01/2010,3.3685,3.322,3.43,3.193,7.68K,1.46%
7/01/2010,3.32,2.91,3.323,2.8555,552.87K,12.52%
6/01/2010,2.9505,3.1325,3.1415,2.737,81.37K,-5.28%
5/01/2010,3.115,3.356,3.3635,2.9005,712.02K,-7.11%
4/01/2010,3.3535,3.5585,3.6545,3.334,70.41K,-5.88%
3/01/2010,3.563,3.383,3.5825,3.29,606.39K,8.50%
2/01/2010,3.284,3.015,3.37,2.83,72.60K,7.34%
1/01/2010,3.0595,3.35,3.544,3.045,473.76K,-8.58%
12/01/2009,3.3465,3.175,3.379,3.076,24.89K,5.63%
11/01/2009,3.168,2.952,3.192,2.904,9.36K,7.01%
10/01/2009,2.9605,2.8145,3.069,2.64,454.32K,5.02%
9/01/2009,2.819,2.883,2.949,2.67,48.40K,-0.07%
8/01/2009,2.821,2.716,2.9825,2.6585,5.12K,7.49%
7/01/2009,2.6245,2.274,2.6305,2.142,358.59K,15.51%
6/01/2009,2.272,2.191,2.456,2.122,38.80K,3.30%
5/01/2009,2.1995,2.0415,2.217,1.967,264.95K,7.42%
4/01/2009,2.0475,1.84,2.233,1.802,30.51K,10.74%
3/01/2009,1.849,1.5495,1.897,1.506,250.37K,20.18%
2/01/2009,1.5385,1.4535,1.66,1.416,37.16K,4.27%
1/01/2009,1.4755,1.3955,1.631,1.3715,254.01K,4.65%
12/01/2008,1.41,1.6495,1.67,1.2595,16.64K,-14.23%
11/01/2008,1.644,1.893,2.0125,1.54,3.12K,-10.38%
10/01/2008,1.8345,2.891,2.9345,1.6265,298.88K,-36.28%
9/01/2008,2.879,3.35,3.363,2.765,27.15K,-15.31%
8/01/2008,3.3995,3.6565,3.6565,3.2255,3.96K,-7.02%
7/01/2008,3.656,3.8695,4.08,3.54,248.57K,-5.83%
6/01/2008,3.8825,3.57,3.913,3.51,29.03K,7.67%
5/01/2008,3.606,3.9075,4.2605,3.5555,228.68K,-7.65%
4/01/2008,3.9045,3.804,4.036,3.728,25.48K,2.03%
3/01/2008,3.827,3.8465,4.024,3.461,210.62K,-0.73%
2/01/2008,3.855,3.303,3.9105,3.209,25.24K,16.57%
1/01/2008,3.307,3.041,3.3785,3.012,251.16K,8.75%
12/01/2007,3.041,3.1345,3.2,2.873,14.44K,-4.33%
11/01/2007,3.1785,3.4625,3.467,2.888,4.22K,-8.65%
10/01/2007,3.4795,3.6405,3.78,3.43,204.31K,-4.41%
9/01/2007,3.64,3.2955,3.698,3.226,17.26K,6.96%
8/01/2007,3.403,3.58,3.608,3.0625,4.71K,-6.56%
7/01/2007,3.642,3.4485,3.748,3.4375,182.07K,5.55%
6/01/2007,3.4505,3.4025,3.497,3.2345,23.60K,1.74%
5/01/2007,3.3915,3.5355,3.807,3.165,212.94K,-4.64%
4/01/2007,3.5565,3.1775,3.695,3.125,24.02K,13.12%
3/01/2007,3.144,2.765,3.15,2.625,184.96K,14.24%
2/01/2007,2.752,2.585,2.8975,2.4065,25.24K,5.79%
1/01/2007,2.6015,2.871,2.871,2.47,181.38K,-9.39%
12/01/2006,2.871,3.16,3.246,2.83,6.75K,-9.97%
11/01/2006,3.189,3.3535,3.404,3,3.48K,-4.78%
10/01/2006,3.349,3.4605,3.595,3.185,152.01K,-3.22%
9/01/2006,3.4605,3.472,3.675,3.29,17.75K,-0.01%
8/01/2006,3.461,3.575,3.705,3.34,6.03K,-2.51%
7/01/2006,3.55,3.359,3.77,3.21,114.66K,5.81%
6/01/2006,3.355,3.565,3.59,2.948,17.72K,-6.97%
5/01/2006,3.6065,3.249,4.04,3.2,170.24K,11.99%
4/01/2006,3.2205,2.457,3.377,2.519,30.45K,30.97%
3/01/2006,2.459,2.1775,2.5,2.138,184.53K,12.88%
2/01/2006,2.1785,2.219,2.32,2.117,30.64K,-1.67%
1/01/2006,2.2155,2.0345,2.2375,2.0025,148.35K,8.50%
12/01/2005,2.042,1.966,2.13,1.951,16.50K,3.89%
11/01/2005,1.9655,1.774,1.98,1.774,8.55K,9.68%
10/01/2005,1.792,1.7345,1.858,1.7225,183.49K,3.73%
9/01/2005,1.7275,1.6435,1.783,1.609,18.68K,3.57%
8/01/2005,1.668,1.62,1.698,1.588,4.90K,2.80%
7/01/2005,1.6225,1.4735,1.635,1.46,149.75K,7.45%
6/01/2005,1.51,1.4115,1.587,1.41,26.26K,6.15%
5/01/2005,1.4225,1.4595,1.4625,1.33,199.41K,-2.83%
4/01/2005,1.464,1.485,1.529,1.41,24.66K,-2.20%
3/01/2005,1.497,1.5,1.521,1.442,177.65K,-0.10%
2/01/2005,1.4985,1.4,1.508,1.367,23.98K,5.45%
1/01/2005,1.421,1.4565,1.4775,1.3235,145.63K,-2.17%
12/01/2004,1.4525,1.436,1.472,1.315,14.57K,0.94%
11/01/2004,1.439,1.304,1.446,1.304,3.99K,7.99%
10/01/2004,1.3325,1.393,1.482,1.248,169.63K,-4.55%
9/01/2004,1.396,1.2785,1.408,1.225,22.64K,8.93%
8/01/2004,1.2815,1.2905,1.315,1.232,2.82K,-1.27%
7/01/2004,1.298,1.208,1.317,1.195,145.58K,7.45%
6/01/2004,1.208,1.293,1.297,1.141,24.21K,-5.22%
